filename,Teff,logg,M_H,Radius,F070W,F090W,F1000W,F1065C,F1130W,F1140C,F115W,F1280W,F140M,F1500W,F150W,F150W2,F1550C,F162M,F164N,F1800W,F182M,F187N,F200W,F2100W,F210M,F212N,F2300C,F250M,F2550W,F277W,F300M,F322W2,F323N,F335M,F356W,F360M,F405N,F410M,F430M,F444W,F460M,F466N,F470N,F480M,F560W,F770W,H,[3.6],[4.5],J,Ks
sp_t1800g1780nc_m-0.5,1800,5.25,-0.5,0.0937,18.73541935,14.68816091,10.1532287,10.11690025,10.09159159,10.07608412,12.96968609,10.14145664,13.06212519,10.19095706,12.52715288,12.59788023,10.19971259,12.02747339,12.02429442,10.1993745,12.58817319,12.74081107,12.40404119,10.19260542,12.14480774,11.98972503,10.17120388,12.47654091,10.1566793,12.29529871,12.11217971,11.7672919,12.26171777,12.11532955,11.32915648,11.23138219,10.50369398,10.57003195,10.75455703,10.81317982,11.2026489,11.10718141,11.09091268,11.12105017,10.94615935,10.84382483,12.14438995,11.3862643,10.92471514,12.58003682,12.12631872
sp_t1800g3160nc_m-0.5,1800,5.5,-0.5,0.0937,18.83666187,14.67516821,10.15867287,10.12674382,10.09718871,10.08102227,12.94918275,10.14852605,13.00287702,10.2006471,12.50146126,12.59874791,10.20921839,12.03737267,12.04233159,10.21131633,12.60526597,12.75597248,12.43786307,10.20473584,12.18851916,12.04744701,10.18352242,12.51509558,10.16772626,12.3191977,12.1294013,11.81038737,12.3371151,12.19361514,11.38664285,11.30016269,10.51304238,10.58011061,10.74093385,10.8103483,11.17743328,11.0860596,11.07038404,11.10122468,10.95949868,10.86377563,12.14972027,11.44772009,10.9118031,12.55483493,12.18665406
sp_t1900g10nc_m-0.5,1900,3,-0.5,0.208,16.20621111,13.00397058,8.28520672,8.226340758,8.223975905,8.213437264,11.16820734,8.260556828,11.42401472,8.308228323,10.81479455,10.62360696,8.318950363,10.18337383,10.03186589,8.303473961,10.48670502,10.72209287,10.21112988,8.300174551,9.937449045,9.723648716,8.275451885,10.09553576,8.276895839,10.13178594,10.02325074,9.507998544,9.448562565,9.2506874,8.985039584,8.876287055,8.660232354,8.71022832,8.934813978,8.906185361,9.166511928,9.069490045,9.060209639,9.106860121,8.931384401,8.765234413,10.22157223,8.999443438,9.001016112,10.88100602,9.652204151
sp_t1900g17nc_m-0.5,1900,3.23,-0.5,0.194195152,16.39010073,13.12336078,8.445329669,8.38814383,8.387740324,8.376242916,11.29439077,8.427360817,11.54811526,8.477468968,10.93955502,10.7711529,8.488104079,10.31567937,10.17736124,8.474628051,10.64809651,10.87654555,10.37285981,8.471926527,10.09461032,9.883006722,8.448001122,10.29080707,8.447231166,10.3106469,10.18802928,9.672598967,9.62798981,9.429897866,9.14475827,9.029865606,8.807814866,8.858561329,9.092422197,9.073159017,9.372738432,9.269349833,9.255601652,9.304448492,9.111753552,8.942955602,10.36220665,9.159083205,9.177947563,11.0049879,9.830985899
sp_t1900g31nc_m-0.5,1900,3.49,-0.5,0.184784298,16.54126607,13.19340214,8.562757083,8.507088721,8.507902671,8.495525077,11.37982833,8.550969806,11.62771096,8.603438402,11.02159805,10.8783241,8.614135197,10.40621909,10.28381874,8.603098128,10.77014317,10.98866519,10.49663433,8.600577419,10.21485027,10.00580125,8.577239987,10.44809753,8.574492698,10.44845308,10.3123763,9.799722424,9.779238686,9.58225926,9.269209957,9.147149949,8.91407931,8.964864591,9.206493651,9.195980596,9.531913339,9.424021379,9.40649148,9.456089461,9.248194491,9.080222048,10.46276701,9.284269363,9.309931288,11.08573699,9.975440197
sp_t1900g100nc_m-0.5,1900,4,-0.5,0.1595,16.88722133,13.39731031,8.898673477,8.846309199,8.847229292,8.833780231,11.66497517,8.89509665,11.88161043,8.947490723,11.29216332,11.20275486,8.957229592,10.70097003,10.61888064,8.949328273,11.12386617,11.31387656,10.85895254,8.945083623,10.57461207,10.37314348,8.922616152,10.86908936,8.915833565,10.82487871,10.66667992,10.1699862,10.22099973,10.03240182,9.642214738,9.506280503,9.231563396,9.281657426,9.530190765,9.5364086,9.928241028,9.81740038,9.795764631,9.842146335,9.613782136,9.452976799,10.779449,9.662052783,9.663552894,11.35097007,10.38960326
sp_t1900g316nc_m-0.5,1900,4.5,-0.5,0.131100715,17.32163553,13.73322548,9.335568093,9.287885373,9.286058142,9.272488693,12.0688999,9.337371733,12.21420546,9.386477374,11.65858911,11.6296774,9.395190686,11.10228613,11.05883849,9.388426972,11.5698638,11.73251783,11.32791981,9.381766782,11.05054346,10.8633858,9.359996132,11.37648053,9.349802797,11.28651454,11.11473339,10.65131112,10.7893019,10.6168127,10.13909773,9.997538391,9.650462561,9.701554685,9.942010258,9.966520936,10.38682441,10.27939142,10.25795028,10.297514,10.06419489,9.912755186,11.19831121,10.16521494,10.09780302,11.72498793,10.92150152
sp_t1900g1000nc_m-0.5,1900,5,-0.5,0.1063,17.86971875,14.14951936,9.794338428,9.753489738,9.745356353,9.7315811,12.50865625,9.799421815,12.54994289,9.848010526,12.04648756,12.08617607,9.856636361,11.54290798,11.53056057,9.853017324,12.036543,12.18493947,11.8331284,9.845979263,11.57358454,11.40909206,9.824457898,11.90173879,9.812859784,11.76926619,11.59100176,11.18038145,11.43275672,11.27864419,10.69795847,10.56185209,10.09763749,10.15273187,10.37094132,10.4172498,10.843883,10.74279597,10.72197392,10.75600873,10.53530672,10.40474295,11.64622141,10.73143826,10.5440035,12.13626019,11.49849515
sp_t1900g1780nc_m-0.5,1900,5.25,-0.5,0.095,18.18923854,14.3834362,10.03802594,10.00103415,9.989475443,9.975523266,12.74299061,10.04476309,12.72684329,10.09384434,12.2563261,12.33052727,10.10237617,11.78694316,11.78620076,10.10011115,12.28599838,12.42998604,12.10390856,10.09277698,11.85669897,11.70631525,10.07151946,12.17399448,10.05858434,12.02250809,11.84048472,11.45980445,11.75572948,11.61224328,10.99444973,10.86596986,10.3416778,10.39823942,10.59967404,10.65741553,11.07650475,10.97898562,10.95861268,10.99079937,10.78250169,10.65828184,11.88928772,11.0315934,10.77819036,12.36020041,11.80420517
sp_t1900g3160nc_m-0.5,1900,5.5,-0.5,0.095,18.26892482,14.37279749,10.03859662,10.00554976,9.990781388,9.976434815,12.7289148,10.04738905,12.65873825,10.09817322,12.22352741,12.32974865,10.1065067,11.79163056,11.79902148,10.10606144,12.29293986,12.43320714,12.13111479,10.09865528,11.89697856,11.76110572,10.07758865,12.20213968,10.06348542,12.03429205,11.8486971,11.49837577,11.83670701,11.70095397,11.05091397,10.93133874,10.34676202,10.40405838,10.58562172,10.65463445,11.05966066,10.96538286,10.9451612,10.97686699,10.78760465,10.67141817,11.89035076,11.09180527,10.76725401,12.33869575,11.86355679
