filename,Teff,logg,M_H,Radius,F070W,F090W,F1000W,F1065C,F1130W,F1140C,F115W,F1280W,F140M,F1500W,F150W,F150W2,F1550C,F162M,F164N,F1800W,F182M,F187N,F200W,F2100W,F210M,F212N,F2300C,F250M,F2550W,F277W,F300M,F322W2,F323N,F335M,F356W,F360M,F405N,F410M,F430M,F444W,F460M,F466N,F470N,F480M,F560W,F770W,H,[3.6],[4.5],J,Ks
sp_t1900g562nc_m+0.5,1900,4.75,0.5,0.127297867,17.10663281,13.91021847,9.378389735,9.323682433,9.337980307,9.32396538,12.22175271,9.400751932,12.5053667,9.484256599,11.84756972,11.65974369,9.496690767,11.19075106,11.07769082,9.473139573,11.60418125,11.83462813,11.25275666,9.471249739,10.91816277,10.69703856,9.449347238,11.30535625,9.444723755,11.33369773,11.18565515,10.62116293,10.58104693,10.37991401,10.06215206,9.941489295,9.681421922,9.810810061,10.33705246,10.11368314,10.49636283,10.36624751,10.34579019,10.39409521,10.13903115,9.929844463,11.26324172,10.07905819,10.26391651,11.91191675,10.61161699
sp_t1900g1000nc_m+0.5,1900,5,0.5,0.1126,17.46871001,14.14288099,9.652940416,9.600195059,9.615377466,9.600703368,12.48067767,9.682187891,12.75640091,9.764344709,12.09063911,11.91903685,9.776276943,11.43067371,11.33096105,9.757504529,11.8849783,12.10558967,11.51711868,9.755065953,11.16831348,10.94684444,9.733798498,11.62368384,9.726692681,11.63653669,11.4769909,10.90456343,10.89464642,10.69323327,10.34005874,10.2116905,9.939338727,10.06955975,10.60884484,10.38754933,10.81308618,10.6828648,10.66285072,10.70752417,10.43772048,10.22926759,11.51614656,10.3583365,10.54770933,12.15835036,10.87709022
sp_t1900g3160nc_m+0.5,1900,5.5,0.5,0.0994,17.9875117,14.35044848,9.935068665,9.888286287,9.902008288,9.886911376,12.73529766,9.973949293,12.98209465,10.04774301,12.30328131,12.1732589,10.05832894,11.63940998,11.55993726,10.04694747,12.17586442,12.38048598,11.78461691,10.04193332,11.41253232,11.190662,10.02128714,11.98629989,10.00968053,11.96204695,11.78209672,11.20484255,11.2642454,11.06993336,10.63609325,10.49568054,10.18671967,10.31409475,10.85661258,10.6516516,11.14259049,11.01885335,11.00214749,11.03583117,10.74965193,10.54369028,11.74703749,10.65879553,10.82604745,12.38714081,11.16264108
sp_t2000g10nc_m+0.5,2000,3,0.5,0.2618,15.22191822,12.29872695,7.651334237,7.594280658,7.581509691,7.578490292,10.51185885,7.593301432,10.61629523,7.610790538,10.11049248,9.906490679,7.627818341,9.521700368,9.3564595,7.571938942,9.68728084,9.855244345,9.44491004,7.550007947,9.218063163,9.032675748,7.526445933,9.194213132,7.516079984,9.245715795,9.192758137,8.774123271,8.733748512,8.552882786,8.32944809,8.23455697,8.018811604,8.096999801,8.387332442,8.215216358,8.277468733,8.196064156,8.207436467,8.223410324,8.126735607,7.997889024,9.541121385,8.342649267,8.26534428,10.22413933,8.922187821
sp_t2000g17nc_m+0.5,2000,3.23,0.5,0.254161318,15.25679016,12.33050078,7.729360038,7.674373425,7.663349783,7.658836146,10.55886924,7.682385579,10.69252059,7.711405714,10.17651027,9.969713852,7.725514207,9.582576223,9.418166542,7.67625301,9.767298236,9.948422717,9.520846915,7.657678675,9.288218778,9.098188896,7.632152565,9.293882748,7.629447198,9.35275704,9.298171069,8.860565475,8.815373336,8.631611384,8.403565491,8.307640462,8.08648181,8.171259127,8.487135721,8.308775962,8.394769803,8.312086074,8.312193719,8.336293867,8.229414174,8.097272636,9.602833504,8.417210749,8.366501314,10.27301137,8.985155388
sp_t2000g31nc_m+0.5,2000,3.49,0.5,0.235908733,15.35410564,12.43866881,7.902977606,7.848893548,7.841200474,7.835368779,10.69835935,7.868142621,10.86022145,7.907149004,10.33440166,10.12647272,7.919580339,9.736392522,9.574321508,7.875815315,9.942298069,10.13604506,9.690912109,7.861409995,9.451116464,9.256977587,7.83671596,9.492184201,7.837391592,9.555350119,9.495999836,9.041178572,8.990604822,8.804093554,8.571717374,8.47472945,8.248833773,8.339963484,8.680052057,8.498775929,8.614883142,8.527656909,8.520689092,8.551654237,8.431050762,8.292395065,9.758285231,8.585671771,8.566245219,10.4151319,9.142308666
sp_t2000g56nc_m+0.5,2000,3.75,0.5,0.20955664,15.56001022,12.65253123,8.170225634,8.116453174,8.112985343,8.105957985,10.93527629,8.147101437,11.11465613,8.194982329,10.58117798,10.37640421,8.206580471,9.981736603,9.824952487,8.167894879,10.2094303,10.41224666,9.951595756,8.157585447,9.703090271,9.506282535,8.133568217,9.784792585,8.13591455,9.848544659,9.781057351,9.3119991,9.254821978,9.066670027,8.830545266,8.732500933,8.503948212,8.600519156,8.962068323,8.781193807,8.932300477,8.839702656,8.826885782,8.864549224,8.727642982,8.580137008,10.00612049,8.844756007,8.859424118,10.65361246,9.39149239
sp_t2000g100nc_m+0.5,2000,4,0.5,0.186,15.78143797,12.87791164,8.441261078,8.387281834,8.388827547,8.380287423,11.1788909,8.429477925,11.3669795,8.485140424,10.82631119,10.62858485,8.49762746,10.22668471,10.07801157,8.462837015,10.47836997,10.68659663,10.21185224,8.455711234,9.952881724,9.754468269,8.431781776,10.08045888,8.43427267,10.14162963,10.06362145,9.581800351,9.517797246,9.328727348,9.088510951,8.989072226,8.76144933,8.861663004,9.242967111,9.064082218,9.253728779,9.156001539,9.137269733,9.181380995,9.026773599,8.870571824,10.25508842,9.103006824,9.15365434,10.89771608,9.641330576
sp_t2000g178nc_m+0.5,2000,4.25,0.5,0.166198556,16.02154412,13.09764282,8.697747654,8.643211525,8.649696921,8.639770101,11.41088114,8.696554508,11.60808966,8.759506325,11.05727666,10.8681518,8.772345091,10.45549655,10.31705393,8.741838503,10.73823352,10.95114563,10.45998655,8.737239083,10.18793703,9.987536571,8.713845115,10.37124163,8.715032141,10.42743012,10.33620624,9.839217783,9.769400965,9.579014691,9.332293862,9.23061536,9.004647665,9.108529961,9.512939394,9.334354734,9.568112163,9.463913349,9.441286198,9.490365447,9.315553557,9.147661634,10.49035043,9.34724994,9.4368352,11.12838331,9.877347486
sp_t2000g316nc_m+0.5,2000,4.5,0.5,0.148200933,16.29268053,13.32639912,8.958552677,8.90425735,8.915169755,8.904036572,11.65400673,8.967469309,11.850565,9.035788099,11.29137042,11.1135349,9.048733068,10.68829228,10.56342439,9.022859855,11.00276886,11.21512629,10.71064003,9.019942629,10.42471353,10.22326975,8.99714572,10.66734647,8.996785669,10.71514675,10.60950808,10.09903643,10.02583151,9.834775987,9.579643309,9.474949348,9.250006904,9.357366141,9.782542533,9.60521382,9.884805336,9.774705367,9.749442341,9.801524893,9.606270847,9.427906076,10.73160532,9.595074266,9.720191688,11.36718768,10.11835885
