filename,Teff,logg,M_H,Radius,F070W,F090W,F1000W,F1065C,F1130W,F1140C,F115W,F1280W,F140M,F1500W,F150W,F150W2,F1550C,F162M,F164N,F1800W,F182M,F187N,F200W,F2100W,F210M,F212N,F2300C,F250M,F2550W,F277W,F300M,F322W2,F323N,F335M,F356W,F360M,F405N,F410M,F430M,F444W,F460M,F466N,F470N,F480M,F560W,F770W,H,[3.6],[4.5],J,Ks
sp_t225g3160nc_m0.0.gz,225,5.5,0,0.0784,29.32523071,26.89986629,19.39744289,19.13183226,17.92785757,17.90928415,31.78111714,16.7714062,34.81639796,16.00979466,29.32959915,30.33581757,15.98236655,28.42854997,33.33827653,15.29407711,33.69660199,37.36099262,34.74536078,14.49771738,37.08626403,37.81015192,14.19535377,32.97744334,13.95967642,29.78112259,28.63619085,23.12076956,37.00386159,28.91895593,22.4880717,23.38205345,19.48972119,18.77709626,17.69464143,18.04520565,17.52182571,17.72230462,17.7371645,18.13915576,20.54788844,19.25383579,28.86419317,23.11251213,17.85007606,31.6698891,37.50321376
sp_t250g10nc_m0.0.gz,250,3,0,0.1228,31.46156217,30.48100145,16.72991907,16.7775982,15.3812337,15.3661032,30.11184558,14.71963485,36.49940913,13.90354113,30.19473817,30.74847275,13.85884323,29.365668,31.94136711,13.32627711,33.71615966,34.05000395,31.5464251,12.84734764,30.71830481,30.13743281,12.64643581,29.68995008,12.53538159,27.98697136,26.95098893,22.77293574,31.20483431,26.61097567,22.0886353,22.6655685,19.5390859,18.49079341,17.10390219,16.92304035,16.02858703,16.20339684,16.09724233,16.36684023,18.8812869,17.70981575,29.84803505,22.46038239,16.74100038,31.13639543,30.87347026
sp_t250g17nc_m0.0.gz,250,3.23,0,0.116817899,31.38273496,30.25700573,16.89440934,16.92434868,15.54001295,15.5235831,29.8699106,14.86540656,36.21903645,14.04783659,29.79765507,30.4731242,14.00468515,29.03735779,31.88364989,13.4658466,33.60949632,34.06471952,31.77844728,12.97218263,30.97186809,30.43640365,12.76708426,29.81607708,12.64991715,28.0552524,27.03256686,22.79321815,31.47522345,26.72568214,22.11067918,22.68309768,19.5329638,18.48744344,17.11799688,16.99587229,16.12642766,16.31652084,16.2074886,16.48624307,18.98941641,17.8237704,29.58706739,22.48026566,16.81633606,30.68329183,31.1673675
sp_t250g31nc_m0.0.gz,250,3.49,0,0.113980273,31.10907628,29.82870961,17.00846451,17.01849302,15.64581097,15.62702513,29.60339929,14.95749163,35.77496023,14.13541059,29.34205804,30.1185253,14.09351873,28.61546737,31.70435161,13.54841259,33.38137841,34.00955501,31.9190969,13.03802545,31.14492018,30.66434803,12.82855136,29.87069111,12.70280062,28.04398195,27.03248733,22.73425474,31.67468722,26.74720054,22.05286564,22.61810791,19.44389044,18.41857382,17.0724179,17.01146118,16.17145864,16.37918659,16.26456679,16.55310148,19.05767954,17.88909693,29.22040847,22.42580173,16.83447853,30.20428862,31.3915273
sp_t250g56nc_m0.0.gz,250,3.75,0,0.112607862,30.82949769,29.36903175,17.10205069,17.08884209,15.73192852,15.71060878,29.36687176,15.02642723,35.3022449,14.20188141,28.89883628,29.75086896,14.16054934,28.15953915,31.54301367,13.61062259,33.14377618,33.99124762,32.05945972,13.0836253,31.33671645,30.93134579,12.87063426,29.92881023,12.73828533,28.03073,27.01969037,22.64147615,31.88150469,26.75922917,21.96287149,22.52668402,19.31206025,18.3177079,17.0023406,17.0034102,16.19685509,16.42096923,16.29898704,16.60110567,19.11239304,17.92700537,28.78905241,22.34818505,16.82719836,29.7631621,31.63003638
sp_t250g100nc_m0.0.gz,250,4,0,0.1098,30.56873014,28.92869844,17.23183905,17.19462086,15.85444025,15.83064538,29.20524504,15.12709955,34.84215179,14.30124481,28.50662032,29.41786557,14.25981568,27.73154586,31.43474785,13.70518852,32.93476074,34.04072351,32.22185714,13.15974929,31.57849642,31.26365722,12.94174394,30.02990016,12.79922425,28.05280563,27.02724234,22.5583235,32.12376018,26.80166173,21.88334393,22.45313422,19.18920366,18.23411005,16.95666353,17.01892934,16.24948716,16.48677936,16.35886842,16.67789266,19.20177951,17.99387433,28.34658907,22.28984928,16.84199332,29.4298801,31.90823526
sp_t250g178nc_m0.0.gz,250,4.25,0,0.105199543,30.3520903,28.5094834,17.40824555,17.34537743,16.0253122,15.99926285,29.13950667,15.27012374,34.42376227,14.4447794,28.20325899,29.15859018,14.4031017,27.3897407,31.38392106,13.84358406,32.76799022,34.17454601,32.41642853,13.27853877,31.89692397,31.68642169,13.05513049,30.19700611,12.90224613,28.11951506,27.06557873,22.50036556,32.42063048,26.89298831,21.82969522,22.4164328,19.09419716,18.18533253,16.95002573,17.07175628,16.34361112,16.59022328,16.46113854,16.79709222,19.33310291,18.09643181,27.96218342,22.26769213,16.89274388,29.23619674,32.2559298
sp_t250g316nc_m0.0.gz,250,4.5,0,0.099500295,30.12283619,28.08074398,17.62243857,17.5324941,16.23602435,16.20885464,29.16276647,15.44519033,34.05726887,14.62249067,27.99142307,28.97812454,14.58060339,27.14730761,31.37923724,14.01551709,32.60883203,34.40835047,32.60957935,13.42963303,32.28435712,32.18683973,13.20052002,30.42003623,13.03808978,28.22127378,27.13471408,22.46089727,32.77742275,27.02079006,21.79472589,22.41036228,19.02297848,18.16497579,16.97364374,17.15206277,16.46824035,16.72035149,16.5957328,16.94975162,19.5000986,18.22655585,27.66952045,22.27264157,16.9697695,29.16707433,32.66585496
sp_t250g562nc_m0.0.gz,250,4.75,0,0.092899013,29.95940597,27.69721787,17.87319889,17.75416,16.48558746,16.4584798,29.27792745,15.65261238,33.75461215,14.83538844,27.87208101,28.87877327,14.79391562,27.00566905,31.41773346,14.22216205,32.45019038,34.75086894,32.78551887,13.61566413,32.76326488,32.78603996,13.38012239,30.70097546,13.20760637,28.3487348,27.23593093,22.43422419,33.20573173,27.17680059,21.77180172,22.42461464,18.9714924,18.17072825,17.02455528,17.25606598,16.61975009,16.87204996,16.76144134,17.13198189,19.6916115,18.38395854,27.48410163,22.2907804,17.07033406,29.22406328,33.16020054
sp_t250g1000nc_m0.0.gz,250,5,0,0.0861,29.72387386,27.26018865,18.15440787,18.00559343,16.76446288,16.73816944,29.47113759,15.88202273,33.47254527,15.07329831,27.84376959,28.85596145,15.03336199,26.96175988,31.44834255,14.45263105,32.27179846,35.11464495,32.89063074,13.82221768,33.27876896,33.42864249,13.5791029,31.01427505,13.39749035,28.47730165,27.34501521,22.41534801,33.69483464,27.35057962,21.75510257,22.44851254,18.93353538,18.19896326,17.10024943,17.37969488,16.79316158,17.03828777,16.95532252,17.33835639,19.90001389,18.5557357,27.41180919,22.30540073,17.19250137,29.37193708,33.68542138
